date,cdi
06/03/1986,0.068111
10/03/1986,0.069028
12/03/1986,0.067417
14/03/1986,0.064584
17/03/1986,0.068222
18/03/1986,0.066528
19/03/1986,0.065750
20/03/1986,0.064639
21/03/1986,0.065418
24/03/1986,0.065500
25/03/1986,0.066250
26/03/1986,0.066250
31/03/1986,0.066917
01/04/1986,0.064806
02/04/1986,0.064833
03/04/1986,0.065611
04/04/1986,0.065418
07/04/1986,0.065639
08/04/1986,0.065083
09/04/1986,0.065083
10/04/1986,0.064833
11/04/1986,0.064749
14/04/1986,0.064750
15/04/1986,0.064167
16/04/1986,0.064861
17/04/1986,0.064972
18/04/1986,0.064000
22/04/1986,0.064639
23/04/1986,0.064833
24/04/1986,0.064694
25/04/1986,0.064416
28/04/1986,0.064806
29/04/1986,0.065000
30/04/1986,0.064556
02/05/1986,0.064833
05/05/1986,0.065278
06/05/1986,0.065750
07/05/1986,0.065639
08/05/1986,0.065361
09/05/1986,0.065166
12/05/1986,0.065639
13/05/1986,0.065444
14/05/1986,0.065778
15/05/1986,0.065722
16/05/1986,0.065418
19/05/1986,0.065639
20/05/1986,0.065361
21/05/1986,0.065389
22/05/1986,0.065417
23/05/1986,0.065224
27/05/1986,0.065194
28/05/1986,0.065750
29/05/1986,0.067111
30/05/1986,0.067668
02/06/1986,0.068472
03/06/1986,0.069472
04/06/1986,0.071556
05/06/1986,0.073139
06/06/1986,0.073584
09/06/1986,0.075222
10/06/1986,0.074806
11/06/1986,0.073861
12/06/1986,0.072694
13/06/1986,0.073668
16/06/1986,0.073750
17/06/1986,0.074111
18/06/1986,0.074833
19/06/1986,0.075222
20/06/1986,0.074166
23/06/1986,0.075556
24/06/1986,0.076139
25/06/1986,0.075667
26/06/1986,0.076361
27/06/1986,0.076167
30/06/1986,0.076833
01/07/1986,0.076694
02/07/1986,0.078167
03/07/1986,0.083750
04/07/1986,0.093501
07/07/1986,0.095694
08/07/1986,0.095361
09/07/1986,0.096139
10/07/1986,0.096944
11/07/1986,0.096666
14/07/1986,0.096306
15/07/1986,0.096056
16/07/1986,0.096361
17/07/1986,0.096639
18/07/1986,0.096417
21/07/1986,0.096528
22/07/1986,0.096778
23/07/1986,0.100806
24/07/1986,0.102250
25/07/1986,0.102084
28/07/1986,0.101722
29/07/1986,0.102000
30/07/1986,0.102139
31/07/1986,0.102667
01/08/1986,0.103332
04/08/1986,0.102972
05/08/1986,0.103028
06/08/1986,0.103806
07/08/1986,0.104111
08/08/1986,0.123168
11/08/1986,0.142222
12/08/1986,0.144000
13/08/1986,0.142056
14/08/1986,0.146500
15/08/1986,0.144999
18/08/1986,0.149389
19/08/1986,0.148889
20/08/1986,0.147806
21/08/1986,0.147889
22/08/1986,0.148332
25/08/1986,0.149278
26/08/1986,0.149833
27/08/1986,0.150694
28/08/1986,0.151361
29/08/1986,0.152667
01/09/1986,0.151250
02/09/1986,0.151111
03/09/1986,0.150111
04/09/1986,0.150889
05/09/1986,0.147666
08/09/1986,0.147250
09/09/1986,0.149278
10/09/1986,0.134278
11/09/1986,0.118722
12/09/1986,0.129834
15/09/1986,0.153806
16/09/1986,0.152222
17/09/1986,0.152056
18/09/1986,0.149944
19/09/1986,0.151584
22/09/1986,0.151944
23/09/1986,0.149722
24/09/1986,0.146222
25/09/1986,0.147667
26/09/1986,0.154500
29/09/1986,0.153667
30/09/1986,0.156278
01/10/1986,0.153306
02/10/1986,0.151778
03/10/1986,0.139167
06/10/1986,0.143972
07/10/1986,0.145333
08/10/1986,0.146139
09/10/1986,0.147444
10/10/1986,0.147834
13/10/1986,0.143222
14/10/1986,0.147750
15/10/1986,0.147694
16/10/1986,0.148028
17/10/1986,0.148083
20/10/1986,0.147167
21/10/1986,0.146111
22/10/1986,0.146361
23/10/1986,0.147222
24/10/1986,0.146499
27/10/1986,0.150000
28/10/1986,0.147639
29/10/1986,0.150806
30/10/1986,0.150222
31/10/1986,0.157251
03/11/1986,0.198639
04/11/1986,0.196917
05/11/1986,0.201611
06/11/1986,0.210389
07/11/1986,0.226332
10/11/1986,0.210194
11/11/1986,0.218972
12/11/1986,0.216444
13/11/1986,0.217167
14/11/1986,0.233499
17/11/1986,0.234944
18/11/1986,0.237806
19/11/1986,0.246167
20/11/1986,0.262667
21/11/1986,0.282000
24/11/1986,0.285917
25/11/1986,0.297444
26/11/1986,0.357167
27/11/1986,0.374722
28/11/1986,0.386001
01/12/1986,0.560750
02/12/1986,0.452139
03/12/1986,0.405028
04/12/1986,0.398139
05/12/1986,0.390084
08/12/1986,0.403972
09/12/1986,0.445361
10/12/1986,0.475444
11/12/1986,0.482861
12/12/1986,0.482832
15/12/1986,0.473556
16/12/1986,0.434028
17/12/1986,0.431944
18/12/1986,0.447278
19/12/1986,0.444000
22/12/1986,0.454194
23/12/1986,0.377139
24/12/1986,0.384444
26/12/1986,0.430332
29/12/1986,0.453472
30/12/1986,0.592556
31/12/1986,0.592556
02/01/1987,0.592584
05/01/1987,0.683028
06/01/1987,0.608694
07/01/1987,0.559139
08/01/1987,0.564694
09/01/1987,0.677916
12/01/1987,0.673583
13/01/1987,0.675722
14/01/1987,0.674944
15/01/1987,0.652722
16/01/1987,0.659751
19/01/1987,0.659778
20/01/1987,0.619806
21/01/1987,0.632611
22/01/1987,0.640000
23/01/1987,0.705084
26/01/1987,0.698056
27/01/1987,0.698611
28/01/1987,0.678167
29/01/1987,0.683056
30/01/1987,0.681084
02/02/1987,0.887389
03/02/1987,0.882917
04/02/1987,0.885333
05/02/1987,0.882972
06/02/1987,0.889833
09/02/1987,1.037139
10/02/1987,1.116083
11/02/1987,1.120222
12/02/1987,1.104778
13/02/1987,1.096749
16/02/1987,1.097194
17/02/1987,1.134861
18/02/1987,1.128444
19/02/1987,1.139583
20/02/1987,1.163832
23/02/1987,1.159278
24/02/1987,1.143167
25/02/1987,1.039444
26/02/1987,0.703083
27/02/1987,0.590555
04/03/1987,0.606500
05/03/1987,0.643611
06/03/1987,0.709749
09/03/1987,0.707694
10/03/1987,0.726250
11/03/1987,0.727889
12/03/1987,0.576028
13/03/1987,0.537417
16/03/1987,0.648500
17/03/1987,0.746639
18/03/1987,0.649944
19/03/1987,0.648944
20/03/1987,0.657666
23/03/1987,0.656444
24/03/1987,0.672639
25/03/1987,0.635000
26/03/1987,0.637333
27/03/1987,0.643083
30/03/1987,0.642361
31/03/1987,0.675167
01/04/1987,0.674944
02/04/1987,0.667306
03/04/1987,0.649251
06/04/1987,0.726333
07/04/1987,0.716389
08/04/1987,0.711028
09/04/1987,0.818639
10/04/1987,0.836082
13/04/1987,0.836861
14/04/1987,0.839722
15/04/1987,0.842664
21/04/1987,0.834417
22/04/1987,0.833861
23/04/1987,0.836806
24/04/1987,0.844668
27/04/1987,0.908944
28/04/1987,0.975722
29/04/1987,0.971583
30/04/1987,0.979556
04/05/1987,0.986333
05/05/1987,0.988833
06/05/1987,1.064722
07/05/1987,1.319361
08/05/1987,1.319001
11/05/1987,1.552694
12/05/1987,1.555861
13/05/1987,1.554944
14/05/1987,1.318250
15/05/1987,0.948918
18/05/1987,0.957361
19/05/1987,0.966778
20/05/1987,0.978917
21/05/1987,0.992250
22/05/1987,1.026249
25/05/1987,1.048278
